"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1","47uF","47uF","KICAD_USB_FOOTPRINT_CUS:C_0603","1",""
"C2","22uF","22uF","KICAD_USB_FOOTPRINT_CUS:C_0603","1",""
"C3","0.1uF","0.1uF","KICAD_USB_FOOTPRINT_CUS:C_0603","1",""
"C4","10uF","10uF","KICAD_USB_FOOTPRINT_CUS:C_0603","1",""
"C5","100uF","100uF","KICAD_USB_FOOTPRINT_CUS:C_0603","1",""
"D3","D_Schottky_Small","5A 40V","KICAD_USB_FOOTPRINT_CUS:Package-Diode-D_SMA","1",""
"J1,J2","Conn_01x02_Socket","~","Connector_PinSocket_2.54mm:PinSocket_1x02_P2.54mm_Vertical","2",""
"L3","7uH-15uH","7uH-15uH","Inductor_SMD:L_Coilcraft_XAL5030-XXX","1",""
"R1","309K","309K","KICAD_USB_FOOTPRINT_CUS:R_0603","1",""
"R2","100K","100K","KICAD_USB_FOOTPRINT_CUS:R_0603","1",""
"U1","TPS5430DDA","http://www.ti.com/lit/ds/symlink/tps5430.pdf","Package_SO:TI_SO-PowerPAD-8_ThermalVias","1",""
